PUMA,Year,Average Wage,Growth
"Guayama, Salinas & Patillas PUMA, PR",2017,20950.42,-0.51
"Humacao, Fajardo & Islas Municipios PUMA, PR",2017,22674.11,-4.01
"Río Grande, Canóvanas & Loíza PUMA, PR",2017,22118.88,2.71
"Carolina PUMA, PR",2017,29075.39,5.58
"San Juan Norte PUMA, PR",2017,31633.05,6.18
"San Juan Sur PUMA, PR",2017,36805.52,5.98
"Guaynabo & Cataño PUMA, PR",2017,39649.82,-0.72
"Bayamón PUMA, PR",2017,26806.92,5.45
"Toa Baja & Dorado PUMA, PR",2017,27093.5,3.54
"Toa Alta, Corozal & Naranjito PUMA, PR",2017,25234.09,-0.37
"Vega Baja, Vega Alta & Morovis PUMA, PR",2017,24275.67,1.48
"Arecibo, Manatí & Barceloneta PUMA, PR",2017,22308.96,1.11
"Isabela, Hatillo & Camuy PUMA, PR",2017,21623.97,0.92
"Cayey, Cidra & Barranquitas PUMA, PR",2017,23694.89,1.67
"Caguas PUMA, PR",2017,28902.21,-0.97
"Trujillo Alto & Gurabo PUMA, PR",2017,25959.17,1.5
"San Lorenzo, Juncos & Las Piedras PUMA, PR",2017,26818.75,2.6
"Aguadilla, Aguada & Moca PUMA, PR",2016,18842.38,-2.03
"Mayagüez, Añasco & Hormigueros PUMA, PR",2016,20507.47,0.6
"Cabo Rojo, San Germán & Lajas PUMA, PR",2016,22567.05,1.59
"Yauco, Sabana Grande & Peñuelas PUMA, PR",2016,20052.93,1.84
"Ponce PUMA, PR",2016,23107.01,1.09
"Juana Díaz, Coamo & Villalba PUMA, PR",2016,22149.65,1.25
"Guayama, Salinas & Patillas PUMA, PR",2016,21057.07,2.15
"Humacao, Fajardo & Islas Municipios PUMA, PR",2016,23621.13,-0.06
"Río Grande, Canóvanas & Loíza PUMA, PR",2016,21534.33,-1.3
"Carolina PUMA, PR",2016,27538.95,-0.39
"San Juan Norte PUMA, PR",2016,29791.57,3.41
"San Juan Sur PUMA, PR",2016,34727.77,2.36
"Guaynabo & Cataño PUMA, PR",2016,39935.44,4.45
"Bayamón PUMA, PR",2016,25421.67,1.25
"Toa Baja & Dorado PUMA, PR",2016,26166.45,4.47
"Toa Alta, Corozal & Naranjito PUMA, PR",2016,25328.27,-1.52
"Vega Baja, Vega Alta & Morovis PUMA, PR",2016,23921.06,-0.96
"Arecibo, Manatí & Barceloneta PUMA, PR",2016,22064.35,-1.91
"Isabela, Hatillo & Camuy PUMA, PR",2016,21426.37,1.62
"Cayey, Cidra & Barranquitas PUMA, PR",2016,23305.44,-0.05
"Caguas PUMA, PR",2016,29186.61,0.89
"Trujillo Alto & Gurabo PUMA, PR",2016,25576.69,-0.25
"San Lorenzo, Juncos & Las Piedras PUMA, PR",2016,26140.18,0.82
"Aguadilla, Aguada & Moca PUMA, PR",2015,19232.78,-3.89
"Mayagüez, Añasco & Hormigueros PUMA, PR",2015,20385.83,-3.14
"Cabo Rojo, San Germán & Lajas PUMA, PR",2015,22213.49,-1.53
"Yauco, Sabana Grande & Peñuelas PUMA, PR",2015,19691.3,1.0
"Ponce PUMA, PR",2015,22858.05,-1.29
"Juana Díaz, Coamo & Villalba PUMA, PR",2015,21876.0,3.25
"Guayama, Salinas & Patillas PUMA, PR",2015,20613.35,-3.95
"Humacao, Fajardo & Islas Municipios PUMA, PR",2015,23635.45,-7.1
"Río Grande, Canóvanas & Loíza PUMA, PR",2015,21818.35,-1.37
"Carolina PUMA, PR",2015,27646.44,1.11
"San Juan Norte PUMA, PR",2015,28810.55,-1.32
