ID PUMA,PUMA,ID Year,Year,ID Workforce Status,Workforce Status,Average Wage,Slug PUMA,Temp,Growth
"79500US7200400","Yauco, Sabana Grande & Peñuelas PUMA, PR",2020,"2020","true","true",20041.51359169609,"yauco-sabana-grande-penuelas-puma-pr",20236.19063760405,-0.9620241743828988
"79500US7200500","Ponce PUMA, PR",2020,"2020","true","true",24437.343323361434,"ponce-puma-pr",23661.646686629345,3.278286786229539
"79500US7200600","Juana Díaz, Coamo & Villalba PUMA, PR",2020,"2020","true","true",22631.462455436722,"juana-diaz-coamo-villalba-puma-pr",23179.76792442376,-2.3654484841036973
"79500US7200700","Guayama, Salinas & Patillas PUMA, PR",2020,"2020","true","true",21490.261542392058,"guayama-salinas-patillas-puma-pr",21533.030205487143,-0.1986188784715784
"79500US7200800","Humacao, Fajardo & Islas Municipios PUMA, PR",2020,"2020","true","true",23881.06028205037,"humacao-fajardo-islas-municipios-puma-pr",22893.280359444365,4.314715528299148
"79500US7200900","Río Grande, Canóvanas & Loíza PUMA, PR",2020,"2020","true","true",23643.23158177424,"rio-grande-canovanas-loiza-puma-pr",23454.243695766116,0.805772671502676
"79500US7201000","Carolina PUMA, PR",2020,"2020","true","true",30784.007638521653,"carolina-puma-pr",30111.451916702415,2.2335546079934443
"79500US7201101","San Juan Norte PUMA, PR",2020,"2020","true","true",36336.72210617748,"san-juan-norte-puma-pr",35094.01911636227,3.5410677406162674
"79500US7201102","San Juan Sur PUMA, PR",2020,"2020","true","true",38340.75180844907,"san-juan-sur-puma-pr",37766.620446306006,1.5202084681083072
"79500US7201200","Guaynabo & Cataño PUMA, PR",2020,"2020","true","true",39700.45480650175,"guaynabo-catano-puma-pr",39602.37706630454,0.247656195063748
"79500US7201300","Bayamón PUMA, PR",2020,"2020","true","true",28223.449228100606,"bayamon-puma-pr",27106.907074761664,4.119031914115044
"79500US7201400","Toa Baja & Dorado PUMA, PR",2020,"2020","true","true",29649.122594319626,"toa-baja-dorado-puma-pr",28821.816451793722,2.87041638721704
"79500US7201500","Toa Alta, Corozal & Naranjito PUMA, PR",2020,"2020","true","true",25362.6913249694,"toa-alta-corozal-naranjito-puma-pr",25316.764229023192,0.18140981813764873
"79500US7201600","Vega Baja, Vega Alta & Morovis PUMA, PR",2020,"2020","true","true",25487.77358802158,"vega-baja-vega-alta-morovis-puma-pr",24696.194859734587,3.2052659641814167
"79500US7201700","Arecibo, Manatí & Barceloneta PUMA, PR",2020,"2020","true","true",22094.17045417916,"arecibo-manati-barceloneta-puma-pr",21693.57155388064,1.8466249289728323
"79500US7201800","Isabela, Hatillo & Camuy PUMA, PR",2020,"2020","true","true",22835.636159064405,"isabela-hatillo-camuy-puma-pr",22584.271476160033,1.1130077105640204
"79500US7202000","Cayey, Cidra & Barranquitas PUMA, PR",2020,"2020","true","true",25754.844455622624,"cayey-cidra-barranquitas-puma-pr",24491.552423426456,5.158072507432459
"79500US7202100","Caguas PUMA, PR",2020,"2020","true","true",31866.681302284625,"caguas-puma-pr",31462.306924638604,1.2852661396210263
